"","Match","Scout_Initials","Team","Starting_Loc","Piece_Holding","SS_rocket_Lev_3_cargo","SS_rocket_Lev_2_cargo","SS_rocket_Lev_1_cargo","SS_rocket_Lev_3_hatch","SS_rocket_Lev_2_hatch","SS_rocket_Lev_1_hatch","SS_total_rocket_hatch","SS_total_rocket_cargo","SS_total_CS_cargo","SS_total_CS_cargo.1","rocket_Lev_3_hatch","rocket_Lev_2_hatch","rocket_Lev_1_hatch","rocket_Lev_3_cargo","rocket_Lev_2_cargo","rocket_Lev_1_cargo","total_rocket_hatch","total_rocket_cargo","total_CS_hatch","total_CS_cargo","Hatch_total","Cargo_total","Feeder_L","Feeder_R","Level_Ended","General_Success","Defensive_Success","Success_v_Defense","Efficient_Placing","Dropped_Pieces"
"1",1,"BH",3929,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,NA,NA,NA,1
"2",1,"rt",486,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,3,NA,1
"3",1,"VZ",5407,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,2,1,2,0,3,3,NA,NA,2,0
"4",1,"CM",4454,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0
"5",1,"jt",1791,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"6",1,"ss",2191,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,1,0
"7",2,"BH",1168,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,3,0,1,1,4,0,3,0,3,NA,NA,3,1
"8",2,"rr",433,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,3,3,1,4,4,0
"9",2,"VZ",4750,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,5,0,1,2.5,NA,NA,1.5,1
"10",2,"CM",3151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,NA,NA,NA,1
"11",2,"jt",4575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,1,1,1,1
"12",2,"ss",4638,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,2,3,0,1,2,NA,NA,3,0
"13",3,"BH",1495,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,2,3,0,1,1,3,NA,NA,2.5,1
"14",3,"AM",272,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,NA,3,2,0
"15",3,"VZ",204,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,NA,2.5,1,1
"16",3,"CM",87,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,NA,NA,NA,1
"17",3,"jt",484,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,1,1
"18",3,"ss",365,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,0,1,3,NA,NA,4,1
"19",4,"BH",5113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,2,3,0,1,1,NA,NA,NA,NA,1
"20",4,"AM",7110,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,NA,2,NA,1
"21",4,"VZ",834,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,0,4,1,4,NA,NA,4,0
"22",4,"CM",4342,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,NA,NA,NA,1
"23",4,"jt",2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,1,0,1,4,1,1,4,1
"24",4,"ss",5420,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,NA,NA,1,1
"25",5,"BH",1370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,3,0,1,1,1.5,NA,NA,1,0
"26",5,"AM",341,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,2,1,1
"27",5,"VZ",1391,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,0,1,1.5,NA,NA,1,1
"28",5,"CM",5404,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,1,3.5,3.5,3.5,3,1
"29",5,"jt",1640,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,3.5,1,1,4,1
"30",5,"ss",1811,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,2,NA,NA,3,1
"31",6,"BH",3151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,1
"32",6,"VZ",272,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,3,2,2,3,5,6,0,1,3.5,NA,NA,4,0
"33",6,"CM",423,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0
"34",6,"jt",2180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,0,0,1,4,1,1,4,1
"35",6,"ss",5113,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,3,2,3,0,0,1,NA,NA,2,1
"36",10,"BH",1391,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,2,1,1,3,3.5,NA,NA,2.5,1
"37",10,"AM",87,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.5,NA,NA,1
"38",10,"rt",486,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,2,3,2,3,3,1
"39",10,"zw",834,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,3,2,5,0,1,0,4,1,4,4,0
"40",10,"aw",484,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,NA,1,1
"41",10,"ss",4575,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,1
"42",11,"BH",1640,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,3,0,0,1,4,NA,NA,3,0
"43",11,"AM",423,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,3,NA,3,4,1
"44",11,"rt",1370,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,1
"45",11,"zw",365,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,2,3,0,0,2,3,0,0,0,3,1,3,3,1
"46",11,"aw",5404,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,4,3,5,0,1,1,4,NA,NA,4,1
"47",11,"ss",3929,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,NA,NA,1.5,1
"48",12,"BH",486,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0
"49",12,"AM",3151,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4,NA,NA,1
"50",12,"rt",1168,3,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,NA,3.5,3,1
"51",12,"zw",87,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,1,2,1,0
"52",12,"aw",272,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,3,4,3,1,1,1,4.5,NA,4,4.5,1
"53",12,"ss",4638,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,1,1,2,3,4,0,1,4,NA,NA,4.5,0
